Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress
[M0] Create monorepo skeleton (apps/packages/tenants/docs/scripts/tests)	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/3		Done		
[M0] Set up TypeScript baseline + tsconfig for Workers runtime	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/4		Done		
[M0] Configure ESLint + Prettier	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/5		Done		
[M0] Set up Vitest test runner	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/6		Done		
[M0] Create project.json for each apps/* and packages/* target	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/7		Done		
[M0] Implement tenant resolution middleware (header/hostname priority)	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/8		Done		
[M0] Define tenant.config.json schema + Zod validation	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/9		Done		
[M0] Create core error handling + response envelopes	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/10		Done		
[M0] Set up local dev with wrangler dev	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/11		Done		
[M0] Create hello endpoint per tenant + smoke tests	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/12		Done		
[M0] Define Env typings source of truth (packages/core/src/env.ts)	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/13		Done		
[M0] Document wrangler version, ESM format decision	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/14		Done		
[M1] Build /chat endpoint with request schema	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/15		Done		
[M1] Define streaming response contract (SSE vs chunked)	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/16		Done		
[M1] Implement Durable Object session store (tenant-scoped)	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/17		Done		
[M1] Add conversation history with retention policy	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/18		Done		
[M1] Implement KV cache layer (tenant-scoped keys)	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/19		Done		
[M1] Implement DO-based rate limiter (per tenant + per IP/user)	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/20		Done		
[M1] Define rate limit keying strategy (tenant+user+ip)	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/21		Done		
[M1] Create streaming behavior tests	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/22		Done		
[M1] Create session isolation tests	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/23		Done		
[M1] Create rate limit enforcement tests	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/24		Done		
[M2] Gateway integration spike - prove connectivity + configuration	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/25		Todo		
[M2] Implement model routing (tenant config chooses models)	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/26		Todo		
[M2] Add per-route model override options	https://github.com/rainbowkillah/cloudflare-mono-repo/issues/27		Todo		
